ts_code,symbol,name
002064.SZ,2064,华峰化学
002065.SZ,2065,东华软件
002066.SZ,2066,瑞泰科技
002067.SZ,2067,景兴纸业
002068.SZ,2068,黑猫股份
002069.SZ,2069,獐子岛
002073.SZ,2073,软控股份
002074.SZ,2074,国轩高科
002075.SZ,2075,沙钢股份
002077.SZ,2077,大港股份
002078.SZ,2078,太阳纸业
002079.SZ,2079,苏州固锝
002080.SZ,2080,中材科技
002081.SZ,2081,金螳螂
002082.SZ,2082,万邦德
002083.SZ,2083,孚日股份
002084.SZ,2084,海鸥住工
002085.SZ,2085,万丰奥威
002087.SZ,2087,新野纺织
002088.SZ,2088,鲁阳节能
002090.SZ,2090,金智科技
002091.SZ,2091,江苏国泰
002092.SZ,2092,中泰化学
002093.SZ,2093,国脉科技
002094.SZ,2094,青岛金王
002095.SZ,2095,生意宝
002096.SZ,2096,南岭民爆
002097.SZ,2097,山河智能
002098.SZ,2098,浔兴股份
002099.SZ,2099,海翔药业
002100.SZ,2100,天康生物
002101.SZ,2101,广东鸿图
002103.SZ,2103,广博股份
002104.SZ,2104,恒宝股份
002105.SZ,2105,信隆健康
002106.SZ,2106,莱宝高科
002107.SZ,2107,沃华医药
002108.SZ,2108,沧州明珠
002109.SZ,2109,兴化股份
002110.SZ,2110,三钢闽光
002111.SZ,2111,威海广泰
002114.SZ,2114,罗平锌电
002115.SZ,2115,三维通信
002116.SZ,2116,中国海诚
002117.SZ,2117,东港股份
002118.SZ,2118,紫鑫药业
002119.SZ,2119,康强电子
002120.SZ,2120,韵达股份
002121.SZ,2121,科陆电子
600000.SH,600000,浦发银行
600004.SH,600004,白云机场
600006.SH,600006,东风汽车
600007.SH,600007,中国国贸
600008.SH,600008,首创环保
600009.SH,600009,上海机场
600010.SH,600010,包钢股份
600011.SH,600011,华能国际
600012.SH,600012,皖通高速
600015.SH,600015,华夏银行
600016.SH,600016,民生银行
600017.SH,600017,日照港
600018.SH,600018,上港集团
600019.SH,600019,宝钢股份
600020.SH,600020,中原高速
600021.SH,600021,上海电力
600022.SH,600022,山东钢铁
600023.SH,600023,浙能电力
600025.SH,600025,华能水电
600026.SH,600026,中远海能
600027.SH,600027,华电国际
600028.SH,600028,中国石化
600029.SH,600029,南方航空
600031.SH,600031,三一重工
600033.SH,600033,福建高速
600035.SH,600035,楚天高速
600036.SH,600036,招商银行
600037.SH,600037,歌华有线
600038.SH,600038,中直股份
600039.SH,600039,四川路桥
600048.SH,600048,保利发展
600050.SH,600050,中国联通
600051.SH,600051,宁波联合
600052.SH,600052,东望时代
600053.SH,600053,九鼎投资
600054.SH,600054,黄山旅游
600055.SH,600055,万东医疗
600056.SH,600056,中国医药
600057.SH,600057,厦门象屿
600058.SH,600058,五矿发展
600059.SH,600059,古越龙山
600060.SH,600060,海信视像
600061.SH,600061,国投资本
600062.SH,600062,华润双鹤
600063.SH,600063,皖维高新
600064.SH,600064,南京高科
600066.SH,600066,宇通客车
600067.SH,600067,冠城大通
600070.SH,600070,浙江富润
600071.SH,600071,凤凰光学
600072.SH,600072,中船科技
600073.SH,600073,上海梅林
600075.SH,600075,新疆天业
600076.SH,600076,康欣新材
600077.SH,600077,宋都股份
600079.SH,600079,人福医药
600080.SH,600080,金花股份
600082.SH,600082,海泰发展
600085.SH,600085,同仁堂
600088.SH,600088,中视传媒
600089.SH,600089,特变电工
600094.SH,600094,大名城
600095.SH,600095,湘财股份
600096.SH,600096,云天化
600097.SH,600097,开创国际
600098.SH,600098,广州发展
