ts_code,symbol,name,k,d,j,簇
600027.SH,600027,华电国际,59.55050423473737,44.504675088297965,89.64216252761618,2.0
600028.SH,600028,中国石化,87.85757322973372,85.08440313556119,93.4039134180788,0.0
600029.SH,600029,南方航空,74.74613536806011,69.67177335715073,84.89485938987889,0.0
600031.SH,600031,三一重工,91.49625857421218,89.96682558339919,94.55512455583818,0.0
600033.SH,600033,福建高速,83.20345117551122,71.81199559892958,105.98636232867447,0.0
600035.SH,600035,楚天高速,73.52940610860534,56.36032649086328,107.86756534408948,0.0
600036.SH,600036,招商银行,89.1421680692475,88.9707395640179,89.48502507970667,0.0
600037.SH,600037,歌华有线,68.44799832814627,51.43186305051839,102.48026888340203,2.0
600038.SH,600038,中直股份,80.19839174881243,70.27771842793572,100.03973839056584,0.0
600039.SH,600039,四川路桥,76.85666363419239,61.335887493280495,107.89821591601616,0.0
600048.SH,600048,保利发展,91.09026836935564,85.70775519775962,101.8552947125477,0.0
600050.SH,600050,中国联通,69.08664432812557,59.60035101792263,88.05923094853146,2.0
600051.SH,600051,宁波联合,76.30539052364021,59.47504999341743,109.9660715840858,0.0
600052.SH,600052,东望时代,57.930628862722266,47.31516677012482,79.16155304791715,2.0
600053.SH,600053,九鼎投资,70.87189646224722,55.88100016315285,100.85368906043598,0.0
600054.SH,600054,黄山旅游,73.88027626941474,52.94500977437495,115.7508092594943,0.0
600055.SH,600055,万东医疗,41.93393632291166,53.20755332567951,19.386702317375978,1.0
600056.SH,600056,中国医药,82.29760342115732,65.63695792579809,115.6188944118758,0.0
600057.SH,600057,厦门象屿,77.10935755102771,64.32929325643087,102.6694861402214,0.0
600058.SH,600058,五矿发展,58.32056846857291,44.35044249116726,86.26082042338422,2.0
600059.SH,600059,古越龙山,75.4312208583161,62.17479867162142,101.94406523170544,0.0
600060.SH,600060,海信视像,63.01691471284185,54.20053408581066,80.64967596690423,2.0
600061.SH,600061,国投资本,75.26141270544372,59.269885646920656,107.24446682248984,0.0
600062.SH,600062,华润双鹤,78.21999466358471,60.18536524188006,114.28925350699402,0.0
600063.SH,600063,皖维高新,73.14148764504925,64.6336152020404,90.15723253106694,0.0
600064.SH,600064,南京高科,63.11783735541371,48.3751530551103,92.60320595602052,2.0
600066.SH,600066,宇通客车,75.69576305491076,59.504039581678086,108.07921000137613,0.0
600067.SH,600067,冠城大通,77.99976275252799,60.085474321932594,113.82833961371875,0.0
600070.SH,600070,浙江富润,83.08969437835549,73.82644349018273,101.61619615470102,0.0
600071.SH,600071,凤凰光学,74.34597874964328,65.36196504771979,92.31400615349024,0.0
600072.SH,600072,中船科技,74.475189258373,59.48683861447404,104.45189054617094,0.0
600073.SH,600073,上海梅林,71.22621800162526,59.28279074538922,95.11307251409733,2.0
600075.SH,600075,新疆天业,74.1998307410145,59.12569730530878,104.34809761242592,0.0
600076.SH,600076,康欣新材,78.59401917555286,61.01839392418405,113.74526967829048,0.0
600077.SH,600077,宋都股份,73.33947180895315,54.07455604442191,111.86930333801564,0.0
600079.SH,600079,人福医药,87.40352272875211,75.36984036865928,111.47088744893772,0.0
600080.SH,600080,金花股份,52.71529823557543,37.82312951380206,82.49963567912215,2.0
600082.SH,600082,海泰发展,57.8044899842008,40.422072208678415,92.56932553524555,2.0
600085.SH,600085,同仁堂,81.53640892037689,67.13345352630078,110.34231970852908,0.0
600088.SH,600088,中视传媒,53.54281024586759,42.93468862818676,74.75905348122923,2.0
600089.SH,600089,特变电工,79.47683614326633,64.27398954742941,109.88252933494016,0.0
600094.SH,600094,大名城,72.97281969463589,57.024120656577225,104.8702177707532,0.0
600095.SH,600095,湘财股份,60.54108688869536,46.057915763735664,89.50742913861475,2.0
