ts_code,symbol,name,k,d,j
600029.SH,600029,南方航空,62.491194082879296,64.07677059102511,59.32004106658766
600031.SH,600031,三一重工,84.50429515749397,79.0208269890158,95.47123149445031
600033.SH,600033,福建高速,68.25788751714676,68.58710562414262,67.59945130315504
600035.SH,600035,楚天高速,41.03052508757065,46.388707812008505,30.314159638694946
600036.SH,600036,招商银行,84.6605331766505,79.12440987567271,95.73277977860607
600037.SH,600037,歌华有线,47.48216277758519,53.78514432423143,34.8761996842927
600038.SH,600038,中直股份,69.69114110464884,64.28016767626617,80.51308796141416
600039.SH,600039,四川路桥,43.25352288315263,46.57687991021332,36.60680882903122
600048.SH,600048,保利发展,60.54488746433657,51.922997637642624,77.78866711772446
600050.SH,600050,中国联通,73.35818471084174,68.5827021575814,82.90914981736245
600051.SH,600051,宁波联合,59.02166069108708,63.196443751475215,50.672094570310804
600052.SH,600052,东望时代,50.61908887444942,53.33441628763261,45.18843404808305
600053.SH,600053,九鼎投资,34.0323777689801,45.55388250184999,10.989368303240312
600054.SH,600054,黄山旅游,73.31552269242906,67.81794219121741,84.31068369485234
600055.SH,600055,万东医疗,79.8062884351043,71.80047293119591,95.8179194429211
600056.SH,600056,中国医药,75.5926319519294,71.03266093147725,84.71257399283371
600057.SH,600057,厦门象屿,48.38069109674049,50.5179959500947,44.106081390032074
600058.SH,600058,五矿发展,83.74038157415725,76.96619049242767,97.28876373761642
600059.SH,600059,古越龙山,72.54184141095104,69.30874773200276,79.0080287688476
600060.SH,600060,海信视像,43.21397895305155,40.02399196222303,49.59395293470861
600061.SH,600061,国投资本,30.434994309201947,39.8417528537279,11.621477220150041
600062.SH,600062,华润双鹤,67.29079919586451,55.41571494300797,91.04096770157759
600063.SH,600063,皖维高新,76.57765188629375,73.84771911520875,82.03751742846376
600064.SH,600064,南京高科,71.92858366700997,62.10457664827917,91.57659770447158
600066.SH,600066,宇通客车,26.088846821322512,31.40393834858735,15.458663766792846
600067.SH,600067,冠城大通,61.233897080640325,65.78387249821898,52.133946245483
600070.SH,600070,浙江富润,23.24394426939836,34.985136497802785,-0.23844018741048956
600071.SH,600071,凤凰光学,61.1516484573324,63.068229176488344,57.31848701902052
600072.SH,600072,中船科技,23.71665679676381,34.116727825768606,2.9165147387542163
600073.SH,600073,上海梅林,66.24680235791342,61.49204760315868,75.75631186742291
600075.SH,600075,新疆天业,35.62153862356718,41.34567113021605,24.17327361026946
600076.SH,600076,康欣新材,62.14821572165116,63.072729361362775,60.299188442227944
600077.SH,600077,宋都股份,47.50023043098734,53.98970922320363,34.52127284655475
600079.SH,600079,人福医药,58.39549272796694,42.24701696443454,90.69244425503173
600080.SH,600080,金花股份,26.470420131179957,28.76240767423218,21.886445045075504
600082.SH,600082,海泰发展,34.21572810142413,46.603932347865914,9.439319608540572
600085.SH,600085,同仁堂,59.15308665211228,53.932469180957376,69.59432159442208
600088.SH,600088,中视传媒,58.75098846122805,61.17695473251024,53.89905591866366
600089.SH,600089,特变电工,34.27761146986771,44.451869104707214,13.929096200188695
600094.SH,600094,大名城,81.02574452901246,74.61183470769522,93.85356417164692
600095.SH,600095,湘财股份,66.76142812980535,67.85948213658781,64.56532011624043
600096.SH,600096,云天化,85.03731881358392,77.23097512886639,100.650006183019
600097.SH,600097,开创国际,72.86430496015458,67.22916849114534,84.13457789817306
600098.SH,600098,广州发展,69.60376249265153,68.085048010974,72.64119145600657
600099.SH,600099,林海股份,68.85861735935032,67.58312042038331,71.40961123728434
600100.SH,600100,同方股份,63.03829407772059,64.22544299485754,60.66399624344669
600101.SH,600101,明星电力,40.51744848317536,45.08337658696969,31.38559227558669
600103.SH,600103,青山纸业,37.93387128390415,46.38399318067719,21.033627490358086
600104.SH,600104,上汽集团,65.75342310230346,55.655589972422675,85.94908936206502
600105.SH,600105,永鼎股份,47.59318323050074,53.86825119233822,35.04304730682577
